local_polo,campus_id,name,local_bloco_polo,capacidade,id,permite_reserva,informacoes_adicionais,responsavel_ids
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",PROTOCOLO,"[4, u'COORDENA\xc7\xd5ES']",0,210,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",COORDENAÇÃO EDUCAÇÃO FÍSICA,"[4, u'COORDENA\xc7\xd5ES']",0,212,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",COORDENAÇÃO MATEMÁTICA,"[4, u'COORDENA\xc7\xd5ES']",0,213,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",COORDENAÇÃO DE CIENCIA DA COMPUTAÇÃO,"[4, u'COORDENA\xc7\xd5ES']",0,214,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",COORDENAÇÃO DE ARQUITETURA E URBANISMO,"[4, u'COORDENA\xc7\xd5ES']",0,215,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",COORDENAÇÃO DE BIOLOGIA,"[4, u'COORDENA\xc7\xd5ES']",0,216,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",LABORATÓRIO DE BIOLOGIA,"[4, u'COORDENA\xc7\xd5ES']",0,217,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",SETOR DE COMPRAS,"[4, u'COORDENA\xc7\xd5ES']",0,218,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",COORDENAÇÃO DE RECURSOS HUMANOS,"[4, u'COORDENA\xc7\xd5ES']",0,219,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",COORDENAÇÃO DE ENFERMAGEM,"[4, u'COORDENA\xc7\xd5ES']",0,220,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",COORDENAÇÃO DE MEDICINA,"[4, u'COORDENA\xc7\xd5ES']",0,221,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",COORDENAÇÃO DE PEDAGOGIA,"[4, u'COORDENA\xc7\xd5ES']",0,222,False,False,[]
"[1, 'ARAPIRACA']","[1, 'CAMPUS ARAPIRACA']",COORDENAÇÃO EAD DE QUÍMICA,"[4, u'COORDENA\xc7\xd5ES']",0,223,False,False,[]
