campus_id,name
CAMPUS ARAPIRACA,ARAPIRACA
CAMPUS ARAPIRACA,PENEDO
CAMPUS ARAPIRACA,PALMEIRA DOS ÍNDIOS
CAMPUS ARAPIRACA,VIÇOSA
